Biology,Business,Chemistry,Computing,Drama,Economics,English,Film Studies,French,Further Ma,Geography,German,Graphics,History,Maths,Music,Music Tech,Photog,Physics,Politics,Psychology,Rel Ed,Sociology,Spanish
,,,,,,12J/En2,,,,,,,,,,,12L/Py1,,,12M/Ps1,,,
,,,,,12N/Ec1,,,,,,,,,12L/Ma2,,,,,,12M/Ps1,,,
,,,,,,,,,,,,,12K/Hi1,12N/Ma2,,,,12M/Ph1,,,,,
12M/Bi2,,12K/Ch2,,,,,,,12L/Fm1,,,,,,,,,,,,,,
,,,,,,12M/En2,,,,,,,,,,,,,12N/Po1,,,12J/So1,
,,,,,,12M/En1,,,,,,,,12L/Ma2,,,,,,,,,
,,,,,,12J/En2,,,,12K/Gg1,,,,,,,,,,,12M/Re1,,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,,,,12J/En2,,,,,,,12L/Hi1,,,,,,,,,12K/So1,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,,12J/Mu1,,,,,,,,
,,,,12L/Dr1,12M/Ec1,,,,,,,,,12N/Ma2,,,,,,,,,
,12J/Bu1,,,,,,,,,,,,,12M/Ma1,,,,,,,,12K/So1,
12M/Bi2,,12K/Ch1,,,,,,,12L/Fm2,,,,,,,,,,,,,,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,,,,12J/En1,,,,,,,,,,,,,,12N/Ps1,12M/Re1,,
,,,,,,,12K/Fs1,,,12L/Gg1,,,,,,,,,12N/Po1,,,,
,,,,,,,,,,12K/Gg1,,,,12L/Ma2,,,,,,12M/Ps1,,,12N/Sp1
,,,,,,12M/En1,,12K/Fr1,,,,,12L/Hi1,,,,,,,,,,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,12J/Co1,,,,12K/Fs1,,,,,,,,,12N/Mt1,,,,,,,
,,,,,,,,,12L/Fm1,12K/Gg1,,,,,,,,12M/Ph1,,,,,
12M/Bi2,,12K/Ch1,,,,,,,12L/Fm2,,,,,,,,,,,,,,
12M/Bi2,,,,,,,,13K/Fr1,,,,,,,,,12L/Py1,,,12J/Ps1,,,
,,,12J/Co1,,,,,,,,,,,12M/Ma1,,,,12K/Ph1,,,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,12K/Hi1,12N/Ma1,,,,12M/Ph1,,,,,
,,12K/Ch1,,12L/Dr1,,,,,,,,,,12M/Ma1,,,,,,,,,
,,,,,,12J/En1,,12K/Fr1,,,,,12L/Hi1,,,,,,,,,,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,,,,,,,,12K/Gg1,,,12L/Hi1,,,,,,,,,12J/So1,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,,12J/Mu1,,,,,,,,
,,,,,,,,12K/Fr1,,,,,,,,,,,,12N/Ps1,12M/Re1,,
,,,,12L/Dr1,,,,,,,,,,,,,,,,,12M/Re1,12J/So1,
,,,,,,,,,,,,,12K/Hi2,,,,,,,12M/Ps1,,12J/So1,
,,,,,,12J/En1,,,,,,,,,,,12M/Py1,,,12N/Ps1,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,12L/Dr1,,,,,,,,,12K/Hi2,,,,,,,12J/Ps1,,,
,,,,,,12J/En2,,,,,,12L/Gr1,,12M/Ma1,,,,,,,,,
12L/Bi2,,,,,,12J/En2,,,,,,,,,,,,,,12N/Ps1,,,
,,12J/Ch2,,,,12M/En2,,,,,,,,12L/Ma2,,,,,,,,,
,,,,,,,12K/Fs1,,,,,12L/Gr1,,,,,12M/Py1,,,,,,
,,,,,,12J/En2,,,,,,,12K/Hi1,,,,12M/Py1,,,,,,
,,12K/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,12N/Ps1,,,
,,12J/Ch1,,,,,,,12L/Fm2,,,,,,,,,12M/Ph1,,,,,
12L/Bi2,,12J/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,12L/Dr1,,12J/En1,,,,,,,12K/Hi2,,,,,,,,,,
,,12K/Ch2,,,,,,,,12L/Gg1,,,,12M/Ma1,,,,,,,,,
12L/Bi2,,12K/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,,,,,,,12L/Fm1,,,,12K/Hi2,,,,,,12M/Po1,,,,
,,,,,12N/Ec1,12M/En1,,,,,,,,12L/Ma2,,,,,,,,,
12L/Bi2,,12K/Ch2,,,,12J/En1,,,,,,,,,,,,,,,,,
,,,,,,,,,,12K/Gg1,,,12L/Hi1,,,,,,12M/Po1,,,,
,,,,,,,,,,,,,,12L/Ma2,,12N/Mt1,,,,,12M/Re1,,
,,12K/Ch2,,,,12J/En2,,,,,,,,12M/Ma1,,,,,,,,,
12M/Bi2,,,,,12N/Ec1,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,,,12J/En1,,,,,,,12K/Hi2,,,,,,12N/Po1,,,,
,,,,,,,,,,,,12L/Gr1,,,,12N/Mt1,12M/Py1,,,,,,
,,,,12L/Dr1,,,,,,,,,,,,,,,,12J/Ps1,12M/Re1,,
,,,,12L/Dr1,,12M/En2,,,,,,,,,,,,,,,,12J/So1,
,,12K/Ch1,,,,,,,12L/Fm1,,,,,,,,,12M/Ph1,,,,,
,,,,,,,,,,,,12L/Gr1,,,12J/Mu1,12N/Mt1,,,,,,,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,12J/Co1,,,,,,12L/Fm1,,,,,,,,,,,12M/Ps1,,,
,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,12M/Ph1,,,,,
12L/Bi1,,12K/Ch1,,,,,,,,,,,,,,,,,,,,,12N/Sp1
,12J/Bu1,,,,,,,,,,,,,12N/Ma2,,,,,,12M/Ps1,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,12N/Ec1,,,,,,,,12K/Hi2,12L/Ma1,,,,,,,,,
,,,,,,,,,,,,,,12L/Ma1,,,,,12N/Po1,12M/Ps1,,,
,,12J/Ch2,,,,,,,,,,,,12N/Ma2,,,,12M/Ph1,,,,,
,,,,,12M/Ec1,,,,,12L/Gg1,,,,12N/Ma2,,,,,,,,,
,,,,,,,,,12L/Fm1,,,,,,,,,12K/Ph1,,,12M/Re1,,
,,,,,,,,,,12L/Gg1,,,,,,,12M/Py1,,,,,,
,,,,,,,,12K/Fr1,,,,,12L/Hi1,,,,,,12M/Po1,,,,
12L/Bi2,,,,,,,,,,,,,,12N/Ma1,,,,,,12J/Ps1,,,
,,,,,,,,,,,,,,12L/Ma2,,12N/Mt1,,12K/Ph1,,,,,
12L/Bi1,,12K/Ch2,,,,,,,,,,,,12N/Ma2,,,,,,,,,
,,,,,,,,,,,,12L/Gr1,,,,,12M/Py1,,,12J/Ps1,,,
,,,,,,12M/En2,,12K/Fr1,,,,,,,12J/Mu1,,,,,,,,
,,,,12L/Dr1,,12J/En2,,,,,,,12K/Hi2,,,,,,,,,,
,,,,,12M/Ec1,,,,,12L/Gg1,,,,12N/Ma2,,,,,,,,,
12M/Bi2,,,,,,,,,,,,,12L/Hi1,,,,,,,12J/Ps1,,,
,,12J/Ch2,,,,,,,,,,,,12L/Ma2,,,,12K/Ph1,,,,,
,,,,,,,,,12L/Fm2,,12M/De1,,,,,,,12K/Ph1,,,,,
,,12J/Ch2,,,,,,,,,13M/De1,,,12N/Ma1,,,,12M/Ph1,,,,,
12M/Bi2,,12J/Ch1,,,,,,,12L/Fm1,,,,,,,,,,,,,,
12M/Bi2,,12J/Ch2,,12L/Dr1,,,,,,,,,12K/Hi2,,,,,,,,,,
,12J/Bu1,,,,,,,,,12K/Gg1,,,,,,,,,12M/Po1,,,,
,,,,,12M/Ec1,,,,,,,,,12N/Ma1,,,,12K/Ph1,,,,,
,,12J/Ch1,,,,,,,12L/Fm2,,,,,,,,,12M/Ph1,,,,,
,,,,,12N/Ec1,,,,,12K/Gg1,,,,12L/Ma2,,,,,,,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,,12N/Ma2,,,,,,,,,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,,,,,,,,,,12L/Gr1,,12M/Ma1,,,,12K/Ph1,,,,,
12L/Bi1,,,,,,,,12K/Fr1,,,,,,,,,,,,12J/Ps1,,,
,,,,,12N/Ec1,,,,,,,,12K/Hi1,,,,,,12M/Po1,,,,
,,,,,,,,,,,,,,12M/Ma1,,,,,,12J/Ps1,,12K/So1,
,,,,,,12J/En1,,,,,,,12L/Hi1,,,,12M/Py1,,,,,,
12M/Bi2,,12J/Ch2,,,,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,,,,,,,12K/Gg1,,,12L/Hi1,,,,12M/Py1,,,,,,
,,,,,,12M/En1,,,,12L/Gg1,,,,,,,,,,12J/Ps1,,,
,,,,,,,,,,12L/Gg1,,,,,,,12M/Py1,,,,,12K/So1,
,,,,,,12J/En1,,12K/Fr1,,,,,12L/Hi1,,,,,,,,,,
,,12J/Ch2,,,,,,,,,,,,12N/Ma2,,,,12M/Ph1,,,,,
,,12J/Ch1,,,12M/Ec1,,,,,,,,,12N/Ma2,,,,,,,,,
,,,,,,,,,,,,12L/Gr1,,,,12N/Mt1,12M/Py1,,,,,,
,,,,,,,,,,,,,,12L/Ma2,,,,,,12M/Ps1,,,12N/Sp1
,,,,,,12M/En1,,,,,,,,,,,12L/Py1,,,,,12K/So1,
,,,,,12N/Ec1,,,,,,,12L/Gr1,,,,,,12K/Ph1,,,,,
12L/Bi2,,12K/Ch1,,,,,,,,,,,,,,,,,,12N/Ps1,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,,12N/Ma2,,,,,,,,,
,,,,,,12M/En2,,,,,,,,,,,,,,12N/Ps1,,12J/So1,
12L/Bi2,,12K/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,,12M/En1,,,,12K/Gg1,,,12L/Hi1,,,,,,,,,,
,,,,,,,,12K/Fr1,,,,,12L/Hi1,,,,,,,,,,12N/Sp1
12L/Bi1,,12K/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,,,,,,,,12K/Gg1,,12L/Gr1,,,,,12M/Py1,,,,,,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,12J/Ch2,,,12N/Ec1,,,12K/Fr1,,,,,,,,,,,,,,,
12M/Bi2,,12K/Ch2,,,,,,,,,,,,12L/Ma2,,,,,,,,,
12M/Bi2,,12J/Ch1,,,,,,,12L/Fm1,,,,,,,,,,,,,,
12L/Bi1,,,,,12N/Ec1,,,,,12K/Gg1,,,,,,,,,,,,,
12L/Bi2,,12K/Ch2,,,,12J/En2,,,,,,,,,,,,,,,,,
,,,,,12N/Ec1,,,,,,,,,12L/Ma1,,,,,,12M/Ps1,,,
12M/Bi2,,12K/Ch2,,,,,,,,12L/Gg1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,12L/Py1,,,,12M/Re1,,
,,,,12L/Dr1,,12J/En1,,,,,,,12K/Hi2,,,,,,,,,,
,,,,,12N/Ec1,,,,,,,,12L/Hi1,,,,,,,,12M/Re1,,
,,,,,,,,,,,,,,,12J/Mu1,,,,,12N/Ps1,12M/Re1,,
,,,,,,,,,,,,12L/Gr1,,12M/Ma1,,,,,,12J/Ps1,,,
,,,,,,12J/En2,,,,,,,12K/Hi2,,,,,,12M/Po1,,,,
,,,,,,,,,,,,,,,,,12L/Py1,,,,12M/Re1,,
,,,,,12M/Ec1,,,,,,,,,12L/Ma2,,,,12K/Ph1,,,,,
,,,,,,,,,,,,,,12N/Ma2,,,,,,12M/Ps1,,12K/So1,
,,,,12L/Dr1,,12M/En2,,,,,,,,,,,,,,12J/Ps1,,,
,,,,,,,,,,12L/Gg1,,,,,,,,,,,12M/Re1,12J/So1,
,,12K/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,,,,12N/Sp1
,12J/Bu1,,,,12M/Ec1,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,,,,12K/Fs1,,,12L/Gg1,,,,,12J/Mu1,,,,,,,,
12M/Bi2,,12J/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,,,,12N/Sp1
,,,,,,,,12K/Fr1,,,,,,12L/Ma1,,,,,,12M/Ps1,,,
,,,,,,,12K/Fs1,,,,,,12L/Hi1,,,,,,,12M/Ps1,,,
,,12K/Ch1,,,,,,,12L/Fm2,,,,,,,,,12M/Ph1,,,,,
,,,,,,12M/En1,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,,12M/En2,,,,,,,12K/Hi2,,,,,,,,,,
,,,,,,12J/En1,,,,,,,12K/Hi1,,,,,,12N/Po1,,,,
,,,,,,,12K/Fs1,,,,,12L/Gr1,,,,,,,,12M/Ps1,,,
,,,,,,,,,,,,,12K/Hi2,12L/Ma2,,,,,,12J/Ps1,,,
,,12K/Ch2,,12L/Dr1,,,,,,,,,,,,,,,,,,,
,,,,,,12M/En2,,,,,,,,12L/Ma1,,,,,12N/Po1,,,,
12L/Bi1,,12J/Ch2,,,,,,,,,,,,12N/Ma3,,,,12K/Ph1,,,,,
,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,12M/Ph1,,,,,
12M/Bi2,,,,12L/Dr1,,,,,,,,,,,,,,,,12J/Ps1,,,
,,,,,,,,,,,,,,,,,12L/Py1,,,,12M/Re1,,
,,,,,12N/Ec1,,,,,,,,,12L/Ma1,,,,12K/Ph1,,,,,
,,,,,12M/Ec1,,,,,,,,,12N/Ma1,,,,,,,,12K/So1,
,,,,,,,,,,12K/Gg1,,12L/Gr1,,,,,,,,,,,12N/Sp1
,,,,,,12J/En1,,,,,12M/De1,,,,,,,,,12N/Ps1,,,
,,,,,,12M/En1,,,,,,,,12N/Ma2,12J/Mu1,,,,,,,,
,,,,,12M/Ec1,,,,,,,,,12L/Ma2,,12N/Mt1,,,,,,,
,,,,,,12M/En2,,,,,,,,,,12N/Mt1,,,,,,12K/So1,
12M/Bi2,,12K/Ch2,,,,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,12M/Ps1,,12K/So1,12N/Sp1
,,,,,,12J/En2,,,,,,,,,,,12L/Py1,,,,,12K/So1,
12L/Bi2,,12J/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
12L/Bi1,,12K/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,,,12M/Ec1,,,,,,,,,,,,,,12N/Po1,,,12K/So1,
,,,,,,,,,,,,12L/Gr1,,,,,12M/Py1,,,,,,
,,,,,,12M/En2,,,,,,,12K/Hi1,,,,,,,,,,12N/Sp1
12L/Bi1,,12K/Ch1,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,,,,,,,,,,,12K/Hi1,,,,,,12M/Po1,,,12J/So1,
,,,,,,12M/En1,,,,,,,,,,,,,,12N/Ps1,,,
,12J/Bu1,,,,12N/Ec1,,,,,,,,,,,,,,,12M/Ps1,,,
12M/Bi2,,12J/Ch2,,,,,,,,,,,,12N/Ma2,,,,,,,,,
12M/Bi2,,,,,,,,,,,,,12K/Hi1,,,,,,,12J/Ps1,,,
12L/Bi2,,,,,,,,,,,,,,12N/Ma1,,,,12K/Ph1,,,,,
,,,12J/Co1,,,,,,12L/Fm1,,,,,,,,,12M/Ph1,,,,,
12M/Bi2,,12J/Ch2,,,,,,,,,,,,12L/Ma2,,,,12K/Ph1,,,,,
,,,,,,12M/En1,,,,,,,,,12J/Mu1,,,,,,,,12N/Sp1
12L/Bi1,,12J/Ch2,,,,,,,,,,,,12N/Ma3,,,,,,,,,
12L/Bi2,,12J/Ch1,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,,,,,,,,,12K/Hi2,12L/Ma2,,,,12M/Ph1,,,,,
,,,,,,,,,,,,,12K/Hi1,,,,12M/Py1,,,12J/Ps1,,,
,,,,,12M/Ec1,,,,,,,,,12L/Ma1,,12N/Mt1,,,,,,,
,,,,,,12J/En1,,,,,,,,,,,,,12M/Po1,,,12K/So1,
12M/Bi2,,12K/Ch2,,,,,,,,,,,,12L/Ma2,,,,,,,,,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,12J/Co1,,,,,,12L/Fm2,,,,,,,,,12M/Ph1,,,,,
12M/Bi2,,12J/Ch1,,,,,,,12L/Fm1,,,,,,,,,,,,,,
,,,,,,,,,,,,12L/Gr1,,,,12N/Mt1,,12K/Ph1,,,,,
,,,,,,,,,,,,,,,12J/Mu1,12N/Mt1,,,,12M/Ps1,,12K/So1,
12L/Bi1,,12J/Ch1,,,,,,,,,,,,12N/Ma1,,,,12M/Ph1,,,,,
,,,,,12M/Ec1,,,,,,,,12K/Hi1,12N/Ma1,,,,,,,,,
,,,,,,,,,,12L/Gg1,,,,,,,12M/Py1,,,,,12J/So1,
,,12J/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,,,,12N/Sp1
12M/Bi2,,,,,,,,12K/Fr1,,12L/Gg1,,,,,,,,,,,,,
12L/Bi2,,,,,,,,,,12K/Gg1,,,,,,,,,,,,,12N/Sp1
,,,,12L/Dr1,,,12K/Fs1,,,,,,,,,12N/Mt1,,,,,,,
,,,,,,12M/En2,,,,,,,12K/Hi1,,,,,,,12J/Ps1,,,
,12J/Bu1,,,12L/Dr1,,,,,,,,,,,,,,,,,,,12N/Sp1
12L/Bi2,12J/Bu1,,,,,,,,,,,,,12N/Ma3,,,,,,,,,
12L/Bi2,,,,,,,,,,12K/Gg1,,,,12N/Ma3,,,,,,,,,
,,,,,,12J/En2,,,,,,,,,,,,,,12M/Ps1,,12K/So1,
,12J/Bu1,,,,,,,,,12K/Gg1,,,,12M/Ma1,,,,,,,,,
12L/Bi1,,,,,12M/Ec1,,,,,,,,,,,,,12K/Ph1,,,,,
,,,,,,12M/En1,,,,,,,,,12J/Mu1,,,,12N/Po1,,,,
,,,,,,,,,,,,12L/Gr1,12K/Hi2,,,12N/Mt1,,,,,,,
,,,,,12N/Ec1,,,,,,,,12K/Hi2,12L/Ma1,,,,,,,,,
,,,,,12M/Ec1,,,12K/Fr1,,,,,12L/Hi1,12N/Ma2,,,,,,,,,
,,,,,,,,12K/Fr1,,,,,,,,,,,12N/Po1,,,12J/So1,
12L/Bi2,,12J/Ch2,,,,,,,,,,,,,,,,12K/Ph1,,,,,
,,,,12L/Dr1,,12J/En1,,,,,,,12K/Hi2,,,,,,,,,,
12M/Bi2,,12J/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,,,12M/En1,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,12M/Ec1,,,,,,,,12L/Hi1,,,,,,,,,12K/So1,
,,12J/Ch1,,,,,,,12L/Fm1,,,,,,,,,12M/Ph1,,,,,
12L/Bi2,,12K/Ch1,,,,,,,,,,,,12N/Ma1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12M/Re1,12J/So1,12N/Sp1
,,,,,,,,,,,,,12L/Hi1,,,,,,,12M/Ps1,,12J/So1,
,,,,,,,,,,,,,,12L/Ma2,,,,12K/Ph1,,12J/Ps1,,,
12L/Bi1,,12K/Ch1,,,,,,,,,,,,12N/Ma2,,,,12M/Ph1,,,,,
12L/Bi2,12J/Bu1,12K/Ch2,,,,,,,,,,,,,,,,,,,,,
,,12J/Ch1,,,,,,,,,,,,12L/Ma1,,,,12M/Ph1,,,,,
,,,,,,12M/En2,,,,,,,,12N/Ma2,12J/Mu1,,,,,,,,
,,,,,,12M/En1,,,,,,,,,,,,,,12N/Ps1,,12J/So1,
,,12K/Ch2,,,12N/Ec1,,,,,,,,,12L/Ma1,,,,,,,,,
,,,,12L/Dr1,,,,,,,,,12K/Hi2,,,,,,12M/Po1,,,,
12M/Bi2,,12J/Ch1,,,,,,,,,,,12L/Hi1,12N/Ma2,,,,,,,,,
,,,,,,12M/En2,,,,,,,,,12J/Mu1,12N/Mt1,,,,,,,
,,,,,,12M/En1,,,,,,,12K/Hi1,,,,,,12N/Po1,,,,
12L/Bi2,12J/Bu1,12K/Ch2,,,,,,,,,,,,,,,,,,,,,
,,12J/Ch2,,,,,,,,,12M/De1,,,12N/Ma2,,,,12K/Ph1,,,,,
,,,,,12M/Ec1,,,,,,,,,12L/Ma2,,,,,,12J/Ps1,,,
,,12K/Ch1,,,,12M/En1,,,12L/Fm2,,,,,,,,,,,,,,
12M/Bi2,,12K/Ch1,,,,,,,12L/Fm2,,,,,,,,,,,,,,
,,,,,,,,,12L/Fm2,,,,12K/Hi2,,,,,12M/Ph1,,,,,
12L/Bi1,,12J/Ch2,,,,,,12K/Fr1,,,,,,,,,,,,,,,
,,12J/Ch1,,,,,,,12L/Fm2,,,,,,,,,12M/Ph1,,,,,
,12J/Bu1,,,,,,12K/Fs1,,,,,,,,,,12L/Py1,,,,,,
12M/Bi2,,12K/Ch1,,,,,,,,,,,,12N/Ma2,,,,,,,,,
,,,,,12N/Ec1,,,,,12K/Gg1,,,,12L/Ma1,,,,,,,,,
,,,,,,,,,,12L/Gg1,,,,12M/Ma1,,,,12K/Ph1,,,,,
,,,,,,12M/En1,,,,,,,,12N/Ma2,,,,,,12J/Ps1,,,
,,,,,,,,,,,,,12K/Hi2,,,,,,,12M/Ps1,,,12N/Sp1
,,12K/Ch1,,,,,,,12L/Fm1,,,,,,,,,12M/Ph1,,,,,
,,12J/Ch1,,,,,,,,,,,,12L/Ma1,,,,,,,,,12N/Sp1
,,,,,,,,,,12L/Gg1,,,,,,12N/Mt1,,,,,,12J/So1,
,12J/Bu1,,,,12M/Ec1,,,,,12K/Gg1,,,,,,,,,,,,,
,,,,,,12M/En2,,,,,,,,,,,12L/Py1,,,12J/Ps1,,,
,,,,,,,,,,,,,12K/Hi2,,,,12L/Py1,,,12M/Ps1,,,
,,,,,,,,,12L/Fm2,,,,12K/Hi2,,,,,12M/Ph1,,,,,
,,,,,,12J/En1,,,,,,,12K/Hi1,,,,,,,,12M/Re1,,
12L/Bi2,,12J/Ch2,,,,,,,,,,,,,,,,,,12N/Ps1,,,
,,,,,,,,,,,,12L/Gr1,,12M/Ma1,,,,12K/Ph1,,,,,
,12J/Bu1,,,,,,,,,12K/Gg1,,12L/Gr1,,,,,,,,,,,
,,,,,12M/Ec1,12J/En1,,,,,,,12L/Hi1,,,,,,,,,,
,,,,,,,,,,,,12L/Gr1,,,,,12M/Py1,,,12N/Ps1,,,
,,,,12L/Dr1,,,,,,,,,12K/Hi2,,,,,,12M/Po1,,,,
,,,12J/Co1,,,,,,,,12M/De1,,,12L/Ma1,,12N/Mt1,,,,,,,
,,,,,,,,,,12L/Gg1,,,,,,,,,,,,12K/So1,
,12J/Bu1,,,,,,,12K/Fr1,,,,,12L/Hi1,,,,,,,,,,
12L/Bi1,,,,,,,,,,,,,,12N/Ma3,,,,,,,,,
,,,,,12N/Ec1,12J/En1,,,,,,,12K/Hi1,,,,,,,,,,
,12J/Bu1,,,,,,,,,,,,,12N/Ma3,,,,12K/Ph1,,,,,
12L/Bi1,,12K/Ch2,,,,,,,,,,,,12N/Ma3,,,,,,,,,
